xmin, ymin, xmax, ymax, confidence, class
150.73696899414062, 178.0651397705078, 307.83282470703125, 227.06822204589844, 0.4418708086013794, 0
98.2245864868164, 296.7869873046875, 268.3138122558594, 351.70843505859375, 0.35807111859321594, 0
210.40658569335938, 296.9046325683594, 379.3659973144531, 351.7032775878906, 0.35431498289108276, 0
0.08747100830078125, 204.62527465820312, 142.96188354492188, 258.0820007324219, 0.33093878626823425, 0
309.80206298828125, 238.52993774414062, 474.8133544921875, 292.8550720214844, 0.3065192401409149, 0
159.83656311035156, 474.3135070800781, 331.848876953125, 527.76708984375, 0.3006611764431, 0
209.59397888183594, 441.37689208984375, 381.42431640625, 494.26507568359375, 0.28027859330177307, 0
0.0, 285.1091003417969, 144.41055297851562, 341.3583068847656, 0.27613091468811035, 0
82.42537689208984, 252.23236083984375, 252.98208618164062, 306.41241455078125, 0.26009494066238403, 0
147.13156127929688, 395.1772766113281, 314.68756103515625, 447.0052795410156, 0.2582279145717621, 0
210.68283081054688, 255.99790954589844, 379.4267272949219, 309.9414367675781, 0.2564670443534851, 0
165.37841796875, 220.6843719482422, 331.3852844238281, 273.0165100097656, 0.25241345167160034, 0
